file_id,source_path,logical_document_id,title,source_cluster,document_role,authority_disposition,canonical_or_superseded_status,product_membership_authority,content_authority,evidence_status,conflict_or_limitation,required_action,owner,classification,revision,source_sha256,source_size_bytes,third_party_original,review_status
ZIP-0208,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/08_LEGAL_AND_CORPORATE/LEG-005_EMOPET_IP_Chain_Of_Title_And_Corporate_Readiness.docx,LEG-005,LEG-005_EMOPET_IP_Chain_Of_Title_And_Corporate_Readiness,IP AND CORPORATE READINESS,READINESS CHECKLIST,CURRENT INTERNAL READINESS CHECKLIST / COMPLETION EVIDENCE REQUIRED,CONTROLLED CHECKLIST / CHAIN OF TITLE AND CORPORATE READINESS NOT ESTABLISHED,NOT PRODUCT AUTHORITY — CURRENT CONTROLLED PRODUCT AUTHORITIES GOVERN PRODUCT MEMBERSHIP,Defines evidence to gather for IP chain of title and corporate readiness.,"CONTROLLED_INTERNAL / ASSIGNMENTS, REGISTERS AND CORPORATE RECORDS OPEN","A checklist is not evidence that assignments, contributor agreements, filings or corporate records exist.","Attach executed assignments, contributor records, corporate extracts and counsel review before readiness claims.",Founder — EMOPET / Legal Counsel,RESTRICTED,1.0,879dd4a672652e42158c22bee72531219296fd2881d3a0235e15585b159c0fe9,55160,False,BATCH 5 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
ZIP-0209,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/08_LEGAL_AND_CORPORATE/LEG-006_EMOPET_Pre_Investment_Legal_Gate.docx,LEG-006,LEG-006_EMOPET_Pre_Investment_Legal_Gate,LEGAL GATES,PRE-INVESTMENT INTERNAL NO-SIGN GATE,CURRENT BINDING INTERNAL PROHIBITION / CLOSE ONLY WITH REQUIRED EVIDENCE,CURRENT OPEN INTERNAL LEGAL GATE,NOT PRODUCT AUTHORITY — CURRENT CONTROLLED PRODUCT AUTHORITIES GOVERN PRODUCT MEMBERSHIP,Controls the internal prohibition on investment/equity signing before listed legal readiness evidence and approvals.,CONTROLLED_INTERNAL / CLOSE EVIDENCE ABSENT,The gate is not legal advice and does not prove any readiness item complete.,"Keep open; obtain counsel-approved instruments, chain-of-title evidence and founder decision before signing.",Founder — EMOPET / Legal Counsel,RESTRICTED,1.0,4daaf389ad9c70d20245779248de8e500a22cc595a6b80b84b35a433d738b391,54516,False,BATCH 5 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
ZIP-0210,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/08_LEGAL_AND_CORPORATE/supplier_contracts/LEG-SUP-001_EMOPET_MOKO_Master_NNN_Execution_Copy.docx,LEG-SUP-001,LEG-SUP-001_EMOPET_MOKO_Master_NNN_Execution_Copy,MOKO LEGAL LINEAGE,UNSIGNED NNN WORKING MASTER,HISTORICAL UNSIGNED WORKING MASTER / SUPERSEDED FOR EXECUTION EVIDENCE,HISTORICAL DUPLICATE / NOT AN EXECUTED AGREEMENT,NOT PRODUCT AUTHORITY — CURRENT CONTROLLED PRODUCT AUTHORITIES GOVERN PRODUCT MEMBERSHIP,Preserved drafting-stage content only; fully counter-signed original hash 332a1e… governs current execution lineage.,MEASURED_INTERNAL — UNSIGNED / NO EXECUTION EVIDENCE,Exact duplicate of ZIP-0212; fallback rendering degrades Chinese text; no signature evidence.,Preserve unchanged; never present as executed or publication-ready.,Founder — EMOPET / Legal / MOKO,PARTNER CONFIDENTIAL HANDLING — SOURCE CLASSIFICATION NOT STATED,1,dfa9d020975fc9cfd7f782697b7be35de52a01342aad3d0369f84244dcd4897d,23288,False,BATCH 5 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
ZIP-0211,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/08_LEGAL_AND_CORPORATE/supplier_contracts/LEG-SUP-002_EMOPET_MOKO_Master_NNN_EN_CN_Executed.pdf,LEG-SUP-002,LEG-SUP-002_EMOPET_MOKO_Master_NNN_EN_CN_Executed,MOKO LEGAL LINEAGE,PARTY-B-SIGNED HISTORICAL COUNTERPART,IMMUTABLE HISTORICAL SIGNATURE-STAGE ORIGINAL / SUPERSEDED FOR CURRENT EXECUTION EVIDENCE,HISTORICAL PARTY-B-ONLY ORIGINAL / PARTY A SIGNATURE AND DATE BLANK,NOT PRODUCT AUTHORITY — CURRENT CONTROLLED PRODUCT AUTHORITIES GOVERN PRODUCT MEMBERSHIP,Evidences only the visible Party B signature/chop stage; fully counter-signed original hash 332a1e… governs current execution lineage.,MEASURED DOCUMENT EVIDENCE / LEGAL EFFECT NOT ASSESSED,"Filename says Executed, but page 7 visibly leaves Party A signature and date blank.","Preserve byte-for-byte; use only for lineage, never as the current fully executed instrument.",Founder — EMOPET / Legal / MOKO,PARTNER CONFIDENTIAL,SOURCE REVISION NOT STATED / NOT VERIFIED,298165f7cd94aaec9334c78fa0fe8fa8c395274bf649e43a1287950075dfc5e6,750013,True,BATCH 5 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
ZIP-0212,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/08_LEGAL_AND_CORPORATE/supplier_contracts/LEG-SUP-003_EMOPET_MOKO_Master_NNN_EN_CN_Branded.docx,LEG-SUP-003,LEG-SUP-003_EMOPET_MOKO_Master_NNN_EN_CN_Branded,MOKO LEGAL LINEAGE,UNSIGNED BRANDED NNN WORKING MASTER,HISTORICAL UNSIGNED WORKING MASTER / SUPERSEDED FOR EXECUTION EVIDENCE,HISTORICAL DUPLICATE / NOT AN EXECUTED AGREEMENT,NOT PRODUCT AUTHORITY — CURRENT CONTROLLED PRODUCT AUTHORITIES GOVERN PRODUCT MEMBERSHIP,Preserved drafting-stage content only; fully counter-signed original hash 332a1e… governs current execution lineage.,MEASURED_INTERNAL — UNSIGNED / NO EXECUTION EVIDENCE,Exact duplicate of ZIP-0210; fallback rendering degrades Chinese text; no signature evidence.,Preserve unchanged; never present as executed or publication-ready.,Founder — EMOPET / Legal / MOKO,PARTNER CONFIDENTIAL HANDLING — SOURCE CLASSIFICATION NOT STATED,1,dfa9d020975fc9cfd7f782697b7be35de52a01342aad3d0369f84244dcd4897d,23288,False,BATCH 5 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
ZIP-0216,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/08_LEGAL_AND_CORPORATE/supplier_contracts/LEG-SUP-007_EMOPET_MOKO_Signing_Checklist.docx,LEG-SUP-007,LEG-SUP-007_EMOPET_MOKO_Signing_Checklist,MOKO LEGAL PROCESS,SIGNING CHECKLIST,HISTORICAL PROCESS AID / NOT EXECUTION OR RELEASE EVIDENCE,DUPLICATE PROCEDURAL CHECKLIST / NON-AUTHORITATIVE FOR CONTRACT STATUS,NOT PRODUCT AUTHORITY — CURRENT CONTROLLED PRODUCT AUTHORITIES GOVERN PRODUCT MEMBERSHIP,Records intended signing checks only.,CONTROLLED_INTERNAL PROCESS AID,Exact duplicate of ZIP-0217; completion is not independently evidenced; fallback rendering affects bilingual content.,Preserve; use the exact signed original and release-control records for status.,Founder — EMOPET / Legal / MOKO,PARTNER CONFIDENTIAL HANDLING — SOURCE CLASSIFICATION NOT STATED,1,03a6567fda935870df1bf4170a6c5a4d303d0ee7ad24a77c66850bcb32a76d5e,39780,False,BATCH 5 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
ZIP-0217,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/08_LEGAL_AND_CORPORATE/supplier_contracts/LEG-SUP-008_EMOPET_MOKO_Signing_Package_Completion_Checklist.docx,LEG-SUP-008,LEG-SUP-008_EMOPET_MOKO_Signing_Package_Completion_Checklist,MOKO LEGAL PROCESS,SIGNING PACKAGE COMPLETION CHECKLIST,HISTORICAL PROCESS AID / NOT EXECUTION OR RELEASE EVIDENCE,DUPLICATE PROCEDURAL CHECKLIST / NON-AUTHORITATIVE FOR CONTRACT STATUS,NOT PRODUCT AUTHORITY — CURRENT CONTROLLED PRODUCT AUTHORITIES GOVERN PRODUCT MEMBERSHIP,Records intended signing-package checks only.,CONTROLLED_INTERNAL PROCESS AID,Exact duplicate of ZIP-0216; completion is not independently evidenced; fallback rendering affects bilingual content.,Preserve; use the exact signed original and release-control records for status.,Founder — EMOPET / Legal / MOKO,PARTNER CONFIDENTIAL HANDLING — SOURCE CLASSIFICATION NOT STATED,1,03a6567fda935870df1bf4170a6c5a4d303d0ee7ad24a77c66850bcb32a76d5e,39780,False,BATCH 5 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
ZIP-0218,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/08_LEGAL_AND_CORPORATE/supplier_contracts/LEG-SUP-009_MOKO_Technology_Ltd_Company_Registration.pdf,LEG-SUP-009,LEG-SUP-009_MOKO_Technology_Ltd_Company_Registration,MOKO THIRD-PARTY ORIGINALS,SUPPLIER COMPANY PROFILE,IMMUTABLE THIRD-PARTY MARKETING ORIGINAL / NOT COMPANY REGISTRATION,THIRD-PARTY COMPANY PROFILE / TITLE CORRECTED BY SUPR-005,NOT PRODUCT AUTHORITY — CURRENT CONTROLLED PRODUCT AUTHORITIES GOVERN PRODUCT MEMBERSHIP,Evidences the exact company-profile artifact only; supplier claims remain supplier-authored.,THIRD-PARTY ORIGINAL / INDEPENDENT REGISTRATION OR CERTIFICATION NOT ESTABLISHED,The source filename mislabels a company profile as Company Registration; marketing claims are not independent validation.,Preserve byte-for-byte; obtain current official registry evidence for legal-status claims.,Founder — EMOPET / Legal / Supplier,PARTNER CONFIDENTIAL,SOURCE REVISION NOT STATED / NOT VERIFIED,064c59449b05c5c0c423c26cafbf09e02c3b1f3f6db831745a6eda3a7039b3bb,1198816,True,BATCH 5 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
ZIP-0219,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/08_LEGAL_AND_CORPORATE/supplier_contracts/LEG-SUP-010_Huachuang_Business_Licence_2021-12-24.pdf,LEG-SUP-010,LEG-SUP-010_Huachuang_Business_Licence_2021-12-24,MOKO THIRD-PARTY ORIGINALS,DATED BUSINESS LICENCE ORIGINAL,IMMUTABLE THIRD-PARTY DOCUMENT ORIGINAL / CURRENT STATUS NOT ESTABLISHED,THIRD-PARTY BUSINESS LICENCE DATED 2021-12-24 / VALIDITY AND AUTHENTICITY NOT INDEPENDENTLY VERIFIED,NOT PRODUCT AUTHORITY — CURRENT CONTROLLED PRODUCT AUTHORITIES GOVERN PRODUCT MEMBERSHIP,Evidences the exact dated licence artifact only.,THIRD-PARTY ORIGINAL / CURRENT REGISTRY STATUS OPEN,"Presence does not independently establish authenticity, current legal status, capacity or authority.",Preserve byte-for-byte; obtain current official registry verification if legal capacity is material.,Founder — EMOPET / Legal / Supplier,PARTNER CONFIDENTIAL,SOURCE REVISION NOT STATED / NOT VERIFIED,52cbc2b74ac2cd931d86f127a1f68d5fd07dd565ff74aa34079cc0eff5039c29,516633,True,BATCH 5 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
ZIP-0364,02_CURRENT_UPDATES_2026-08-25/02_BUSINESS_FINANCE/EMOPET_REGISTRE_DONNEES_RESSOURCES_DRAFT_2026-08-25.md,EMOPET,EMOPET_REGISTRE_DONNEES_RESSOURCES_DRAFT_2026-08-25,CROSS-DOMAIN DRAFT,DRAFT DATA AND RESOURCE REGISTER,NON-CANONICAL CROSS-DOMAIN DRAFT / GOVERNING AUTHORITIES REMAIN SEPARATE,DRAFT / TRANSMISSION WORDING SUPERSEDED / TECHNICAL CLAIMS NON-AUTHORITATIVE,NOT PRODUCT AUTHORITY — CURRENT CONTROLLED PRODUCT AUTHORITIES GOVERN PRODUCT MEMBERSHIP,"May be used only as a drafting inventory; Product, engineering, science, legal and MOKO authorities govern their own scopes.",CONTROLLED_INTERNAL DRAFT / EVENT AND SELECTION EVIDENCE ABSENT,Contains 'tel qu'envoyé' and resource/selection language not supported by transmission or selection evidence.,Create a new controlled revision before use; remove unsupported event language and cite governing registers.,Founder — EMOPET / Document Control,INTERNAL CONTROLLED HANDLING — SOURCE CLASSIFICATION NOT STATED,SOURCE REVISION NOT STATED / NOT VERIFIED,f817b4861b4b8d6da6b54fa1acdd8775a82b64ed66be1bf873d8fcb2be256fa4,8214,False,BATCH 5 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
ZIP-0365,02_CURRENT_UPDATES_2026-08-25/02_BUSINESS_FINANCE/FIN-007_EMOPET_Dossier_Comite_Local_Emergys_DRAFT.docx,FIN-007,FIN-007_EMOPET_Dossier_Comite_Local_Emergys_DRAFT,PUBLIC FUNDING,EMERGYS COMMITTEE DOSSIER DRAFT,DRAFT DERIVATIVE / NOT SUBMITTED / CONTROLLED CORRECTION REQUIRED,"DRAFT / NOT APPLICATION, ELIGIBILITY, COMMITTEE BOOKING OR AWARD EVIDENCE",NOT PRODUCT AUTHORITY — CURRENT CONTROLLED PRODUCT AUTHORITIES GOVERN PRODUCT MEMBERSHIP,Structures a potential dossier only after quotes and AudéLor confirmation; official sources and current controlled authorities govern underlying claims.,"CONTROLLED_INTERNAL DRAFT / QUOTES, SUBMISSION, COMMITTEE DATE AND TRANSMISSION EVIDENCE OPEN","Contains unsupported 'DEMANDÉ', committee-date and MOKO-transmission wording; technical and science statements are not validation evidence.","Issue a new controlled revision only after dated quotes, AudéLor confirmation and correction of transmission/event claims.",Founder — EMOPET / Finance,CONFIDENTIAL,0.1 DRAFT,98a15960c3a1746bb4bbe912d97bf8031720c03b2d181fc5e3e51955f953d9e7,14816,False,BATCH 5 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
ZIP-0366,02_CURRENT_UPDATES_2026-08-25/02_BUSINESS_FINANCE/NOTE_INTERNE_COMMISSION_EMERGYS_2026-08-25.md,NOTE,NOTE_INTERNE_COMMISSION_EMERGYS_2026-08-25,PUBLIC FUNDING,INTERNAL EMERGYS SEQUENCING NOTE,INTERNAL NOTE / AUDÉLOR CONFIRMATION REQUIRED,"SUPPORTING INTERNAL NOTE / SEND, QUOTE AND ELIGIBILITY ASSERTIONS UNPROVEN",NOT PRODUCT AUTHORITY — CURRENT CONTROLLED PRODUCT AUTHORITIES GOVERN PRODUCT MEMBERSHIP,Records questions and proposed sequencing only; it does not govern programme rules or prove actions occurred.,CONTROLLED_INTERNAL / EXTERNAL CONFIRMATION AND EVENT EVIDENCE OPEN,States r1.2/r1.3 were sent and a quote was requested without transmission evidence; the asserted commitment rule is not established by the public page.,Retain as issue list; replace event assertions with verified records and obtain written AudéLor guidance.,Founder — EMOPET / Finance,INTERNAL CONTROLLED HANDLING — SOURCE CLASSIFICATION NOT STATED,SOURCE REVISION NOT STATED / NOT VERIFIED,112580ce751cb7fd3b9f4a5ba0eebec89b0e57a3900f2088bb0016457f9ae51d,3903,False,BATCH 5 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
