file_id,scope_origin,source_path,logical_document_id,title,batch,domain,classification,owner,revision,canonical_status,authority_resolution,review_status,internal_profile_source,derived_internal_review_tier,public_profile_source,derived_external_presentation_tier,visual_qa_status,github_handling,release_state,control_note
ZIP-0011,IMMUTABLE_SOURCE_ZIP_MEMBER,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/02_TAG_EVIDENCE_R1_4/MAT_RfCf_LOW_FREQUENCY_RECOVERY_TRADE_STUDY.csv,ENG-MAT-RFCF-TRADE,MAT_RfCf_LOW_FREQUENCY_RECOVERY_TRADE_STUDY,BATCH 2,TAG,INTERNAL CONTROLLED HANDLING — SOURCE CLASSIFICATION NOT STATED,Science / Evidence Review — FUNCTIONAL OWNER / HUMAN ASSIGNMENT OPEN,SOURCE REVISION NOT STATED / NOT VERIFIED,SUPPORTING ENGINEERING SOURCE — MATURITY PER SOURCE,RESOLVED AT DOCUMENT LEVEL — VALIDATION / RELEASE STATUS PRESERVED,DOCUMENT-LEVEL AUTHORITY / EVIDENCE RECONCILED 2026-08-27 — NOT RELEASED,INCLUSION TO DECIDE,INTERNAL_INCLUSION_DECISION_OPEN,EXPLICIT APPROVAL REQUIRED,EXPLICIT_PUBLICATION_APPROVAL_REQUIRED,NOT APPLICABLE / SOURCE PRESERVED,DO_NOT_PUBLISH_RESTRICTED_OR_UNAPPROVED,NOT_RELEASED,"Internal review candidacy does not establish external publication, release, validation, transmission or manufacturing authority."
ZIP-0012,IMMUTABLE_SOURCE_ZIP_MEMBER,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/02_TAG_EVIDENCE_R1_4/MAT_RfCf_LOW_FREQUENCY_RECOVERY_TRADE_STUDY.md,ENG-MAT-RFCF-TRADE,MAT_RfCf_LOW_FREQUENCY_RECOVERY_TRADE_STUDY,BATCH 2,TAG,INTERNAL CONTROLLED HANDLING — SOURCE CLASSIFICATION NOT STATED,Science / Evidence Review — FUNCTIONAL OWNER / HUMAN ASSIGNMENT OPEN,SOURCE REVISION NOT STATED / NOT VERIFIED,SUPPORTING ENGINEERING SOURCE — MATURITY PER SOURCE,RESOLVED AT DOCUMENT LEVEL — VALIDATION / RELEASE STATUS PRESERVED,DOCUMENT-LEVEL AUTHORITY / EVIDENCE RECONCILED 2026-08-27 — NOT RELEASED,INCLUSION TO DECIDE,INTERNAL_INCLUSION_DECISION_OPEN,EXPLICIT APPROVAL REQUIRED,EXPLICIT_PUBLICATION_APPROVAL_REQUIRED,NOT APPLICABLE / SOURCE PRESERVED,DO_NOT_PUBLISH_RESTRICTED_OR_UNAPPROVED,NOT_RELEASED,"Internal review candidacy does not establish external publication, release, validation, transmission or manufacturing authority."
ZIP-0013,IMMUTABLE_SOURCE_ZIP_MEMBER,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/02_TAG_EVIDENCE_R1_4/TAG_NRF9151_OFFICIAL_POWER_REFERENCE_R2_2026-08-24.csv,,TAG_NRF9151_OFFICIAL_POWER_REFERENCE_R2_2026-08-24,BATCH 2,TAG,INTERNAL CONTROLLED HANDLING — SOURCE CLASSIFICATION NOT STATED,Science / Evidence Review — FUNCTIONAL OWNER / HUMAN ASSIGNMENT OPEN,SOURCE REVISION NOT STATED / NOT VERIFIED,EVIDENCE INPUT — NO COMPONENT OR AUTONOMY DECISION,SUPPORTING EVIDENCE — PARAMETRIC / PRE-BENCH ONLY,RECONCILED 2026-08-27 — NOT RELEASED,INCLUSION TO DECIDE,INTERNAL_INCLUSION_DECISION_OPEN,EXPLICIT APPROVAL REQUIRED,EXPLICIT_PUBLICATION_APPROVAL_REQUIRED,NOT STARTED,DO_NOT_PUBLISH_RESTRICTED_OR_UNAPPROVED,NOT_RELEASED,"Internal review candidacy does not establish external publication, release, validation, transmission or manufacturing authority."
ZIP-0014,IMMUTABLE_SOURCE_ZIP_MEMBER,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/02_TAG_EVIDENCE_R1_4/TAG_NRF9151_OFFICIAL_SOURCE_CLOSURE_R2_2026-08-24.md,TAG-NRF9151-SOURCE-R2,TAG_NRF9151_OFFICIAL_SOURCE_CLOSURE_R2_2026-08-24,BATCH 2,TAG,INTERNAL CONTROLLED HANDLING — SOURCE CLASSIFICATION NOT STATED,Science / Evidence Review — FUNCTIONAL OWNER / HUMAN ASSIGNMENT OPEN,SOURCE REVISION NOT STATED / NOT VERIFIED,SUPPORTING ENGINEERING SOURCE — MATURITY PER SOURCE,RESOLVED AT DOCUMENT LEVEL — VALIDATION / RELEASE STATUS PRESERVED,DOCUMENT-LEVEL AUTHORITY / EVIDENCE RECONCILED 2026-08-27 — NOT RELEASED,INCLUSION TO DECIDE,INTERNAL_INCLUSION_DECISION_OPEN,EXPLICIT APPROVAL REQUIRED,EXPLICIT_PUBLICATION_APPROVAL_REQUIRED,NOT APPLICABLE / SOURCE PRESERVED,DO_NOT_PUBLISH_RESTRICTED_OR_UNAPPROVED,NOT_RELEASED,"Internal review candidacy does not establish external publication, release, validation, transmission or manufacturing authority."
ZIP-0015,IMMUTABLE_SOURCE_ZIP_MEMBER,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/02_TAG_EVIDENCE_R1_4/TAG_PHASE2_BLOCKER_ROUTING_REGISTER_2026-08-24.md,,TAG_PHASE2_BLOCKER_ROUTING_REGISTER_2026-08-24,BATCH 2,TAG,INTERNAL CONTROLLED HANDLING — SOURCE CLASSIFICATION NOT STATED,Science / Evidence Review — FUNCTIONAL OWNER / HUMAN ASSIGNMENT OPEN,SOURCE REVISION NOT STATED / NOT VERIFIED,EVIDENCE INPUT — NO COMPONENT OR AUTONOMY DECISION,SUPPORTING EVIDENCE — PARAMETRIC / PRE-BENCH ONLY,RECONCILED 2026-08-27 — NOT RELEASED,INCLUSION TO DECIDE,INTERNAL_INCLUSION_DECISION_OPEN,EXPLICIT APPROVAL REQUIRED,EXPLICIT_PUBLICATION_APPROVAL_REQUIRED,NOT STARTED,DO_NOT_PUBLISH_RESTRICTED_OR_UNAPPROVED,NOT_RELEASED,"Internal review candidacy does not establish external publication, release, validation, transmission or manufacturing authority."
ZIP-0016,IMMUTABLE_SOURCE_ZIP_MEMBER,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/02_TAG_EVIDENCE_R1_4/TAG_PHASE2_PARAMETRIC_SENSITIVITY_R1_4_2026-08-24.xlsx,,TAG_PHASE2_PARAMETRIC_SENSITIVITY_R1_4_2026-08-24,BATCH 2,TAG,INTERNAL CONTROLLED HANDLING — SOURCE CLASSIFICATION NOT STATED,Science / Evidence Review — FUNCTIONAL OWNER / HUMAN ASSIGNMENT OPEN,SOURCE REVISION NOT STATED / NOT VERIFIED,EVIDENCE INPUT — NO COMPONENT OR AUTONOMY DECISION,SUPPORTING EVIDENCE — PARAMETRIC / PRE-BENCH ONLY,RECONCILED 2026-08-27 — NOT RELEASED,INCLUSION TO DECIDE,INTERNAL_INCLUSION_DECISION_OPEN,EXPLICIT APPROVAL REQUIRED,EXPLICIT_PUBLICATION_APPROVAL_REQUIRED,NOT STARTED,DO_NOT_PUBLISH_RESTRICTED_OR_UNAPPROVED,NOT_RELEASED,"Internal review candidacy does not establish external publication, release, validation, transmission or manufacturing authority."
ZIP-0017,IMMUTABLE_SOURCE_ZIP_MEMBER,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/02_TAG_EVIDENCE_R1_4/TAG_PHASE2_POWER_STATE_MATRIX_R1_1.csv,,TAG_PHASE2_POWER_STATE_MATRIX_R1_1,BATCH 2,TAG,INTERNAL CONTROLLED HANDLING — SOURCE CLASSIFICATION NOT STATED,Science / Evidence Review — FUNCTIONAL OWNER / HUMAN ASSIGNMENT OPEN,SOURCE REVISION NOT STATED / NOT VERIFIED,EVIDENCE INPUT — NO COMPONENT OR AUTONOMY DECISION,SUPPORTING EVIDENCE — PARAMETRIC / PRE-BENCH ONLY,RECONCILED 2026-08-27 — NOT RELEASED,INCLUSION TO DECIDE,INTERNAL_INCLUSION_DECISION_OPEN,EXPLICIT APPROVAL REQUIRED,EXPLICIT_PUBLICATION_APPROVAL_REQUIRED,NOT STARTED,DO_NOT_PUBLISH_RESTRICTED_OR_UNAPPROVED,NOT_RELEASED,"Internal review candidacy does not establish external publication, release, validation, transmission or manufacturing authority."
ZIP-0018,IMMUTABLE_SOURCE_ZIP_MEMBER,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/02_TAG_EVIDENCE_R1_4/TAG_PHASE2_POWER_STATE_MATRIX_R1_1_S0_SOURCE_CAPTURE.csv,,TAG_PHASE2_POWER_STATE_MATRIX_R1_1_S0_SOURCE_CAPTURE,BATCH 2,TAG,INTERNAL CONTROLLED HANDLING — SOURCE CLASSIFICATION NOT STATED,Science / Evidence Review — FUNCTIONAL OWNER / HUMAN ASSIGNMENT OPEN,SOURCE REVISION NOT STATED / NOT VERIFIED,EVIDENCE INPUT — NO COMPONENT OR AUTONOMY DECISION,SUPPORTING EVIDENCE — PARAMETRIC / PRE-BENCH ONLY,RECONCILED 2026-08-27 — NOT RELEASED,INCLUSION TO DECIDE,INTERNAL_INCLUSION_DECISION_OPEN,EXPLICIT APPROVAL REQUIRED,EXPLICIT_PUBLICATION_APPROVAL_REQUIRED,NOT STARTED,DO_NOT_PUBLISH_RESTRICTED_OR_UNAPPROVED,NOT_RELEASED,"Internal review candidacy does not establish external publication, release, validation, transmission or manufacturing authority."
ZIP-0019,IMMUTABLE_SOURCE_ZIP_MEMBER,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/02_TAG_EVIDENCE_R1_4/TAG_PHASE2_POWER_STATE_MATRIX_R1_3_NRF9151_OFFICIAL_SOURCE_CAPTURE.csv,,TAG_PHASE2_POWER_STATE_MATRIX_R1_3_NRF9151_OFFICIAL_SOURCE_CAPTURE,BATCH 2,TAG,INTERNAL CONTROLLED HANDLING — SOURCE CLASSIFICATION NOT STATED,Science / Evidence Review — FUNCTIONAL OWNER / HUMAN ASSIGNMENT OPEN,SOURCE REVISION NOT STATED / NOT VERIFIED,EVIDENCE INPUT — NO COMPONENT OR AUTONOMY DECISION,SUPPORTING EVIDENCE — PARAMETRIC / PRE-BENCH ONLY,RECONCILED 2026-08-27 — NOT RELEASED,INCLUSION TO DECIDE,INTERNAL_INCLUSION_DECISION_OPEN,EXPLICIT APPROVAL REQUIRED,EXPLICIT_PUBLICATION_APPROVAL_REQUIRED,NOT STARTED,DO_NOT_PUBLISH_RESTRICTED_OR_UNAPPROVED,NOT_RELEASED,"Internal review candidacy does not establish external publication, release, validation, transmission or manufacturing authority."
ZIP-0020,IMMUTABLE_SOURCE_ZIP_MEMBER,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/02_TAG_EVIDENCE_R1_4/TAG_PHASE2_SOURCE_READINESS_R1_4_2026-08-24.md,,TAG_PHASE2_SOURCE_READINESS_R1_4_2026-08-24,BATCH 2,TAG,INTERNAL CONTROLLED HANDLING — SOURCE CLASSIFICATION NOT STATED,Science / Evidence Review — FUNCTIONAL OWNER / HUMAN ASSIGNMENT OPEN,SOURCE REVISION NOT STATED / NOT VERIFIED,EVIDENCE INPUT — NO COMPONENT OR AUTONOMY DECISION,SUPPORTING EVIDENCE — PARAMETRIC / PRE-BENCH ONLY,RECONCILED 2026-08-27 — NOT RELEASED,INCLUSION TO DECIDE,INTERNAL_INCLUSION_DECISION_OPEN,EXPLICIT APPROVAL REQUIRED,EXPLICIT_PUBLICATION_APPROVAL_REQUIRED,NOT STARTED,DO_NOT_PUBLISH_RESTRICTED_OR_UNAPPROVED,NOT_RELEASED,"Internal review candidacy does not establish external publication, release, validation, transmission or manufacturing authority."
ZIP-0021,IMMUTABLE_SOURCE_ZIP_MEMBER,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/02_TAG_EVIDENCE_R1_4/TAG_S0_MEASUREMENT_RUN_MATRIX_2026-08-24.csv,TAG-S0-RUN-MATRIX,TAG_S0_MEASUREMENT_RUN_MATRIX_2026-08-24,BATCH 2,TAG,INTERNAL CONTROLLED HANDLING — SOURCE CLASSIFICATION NOT STATED,Science / Evidence Review — FUNCTIONAL OWNER / HUMAN ASSIGNMENT OPEN,SOURCE REVISION NOT STATED / NOT VERIFIED,SUPPORTING ENGINEERING SOURCE — MATURITY PER SOURCE,RESOLVED AT DOCUMENT LEVEL — VALIDATION / RELEASE STATUS PRESERVED,DOCUMENT-LEVEL AUTHORITY / EVIDENCE RECONCILED 2026-08-27 — NOT RELEASED,INCLUSION TO DECIDE,INTERNAL_INCLUSION_DECISION_OPEN,EXPLICIT APPROVAL REQUIRED,EXPLICIT_PUBLICATION_APPROVAL_REQUIRED,NOT APPLICABLE / SOURCE PRESERVED,DO_NOT_PUBLISH_RESTRICTED_OR_UNAPPROVED,NOT_RELEASED,"Internal review candidacy does not establish external publication, release, validation, transmission or manufacturing authority."
ZIP-0022,IMMUTABLE_SOURCE_ZIP_MEMBER,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/02_TAG_EVIDENCE_R1_4/TAG_S0_OFFICIAL_SOURCE_CAPTURE_2026-08-24.md,TAG-S0-SOURCE-CAPTURE,TAG_S0_OFFICIAL_SOURCE_CAPTURE_2026-08-24,BATCH 2,TAG,INTERNAL CONTROLLED HANDLING — SOURCE CLASSIFICATION NOT STATED,Science / Evidence Review — FUNCTIONAL OWNER / HUMAN ASSIGNMENT OPEN,SOURCE REVISION NOT STATED / NOT VERIFIED,SUPPORTING ENGINEERING SOURCE — MATURITY PER SOURCE,RESOLVED AT DOCUMENT LEVEL — VALIDATION / RELEASE STATUS PRESERVED,DOCUMENT-LEVEL AUTHORITY / EVIDENCE RECONCILED 2026-08-27 — NOT RELEASED,INCLUSION TO DECIDE,INTERNAL_INCLUSION_DECISION_OPEN,EXPLICIT APPROVAL REQUIRED,EXPLICIT_PUBLICATION_APPROVAL_REQUIRED,NOT APPLICABLE / SOURCE PRESERVED,DO_NOT_PUBLISH_RESTRICTED_OR_UNAPPROVED,NOT_RELEASED,"Internal review candidacy does not establish external publication, release, validation, transmission or manufacturing authority."
ZIP-0023,IMMUTABLE_SOURCE_ZIP_MEMBER,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/02_TAG_EVIDENCE_R1_4/TAG_S0_POWER_MEASUREMENT_PLAN_2026-08-24.md,,TAG_S0_POWER_MEASUREMENT_PLAN_2026-08-24,BATCH 2,TAG,INTERNAL CONTROLLED HANDLING — SOURCE CLASSIFICATION NOT STATED,Science / Evidence Review — FUNCTIONAL OWNER / HUMAN ASSIGNMENT OPEN,SOURCE REVISION NOT STATED / NOT VERIFIED,EVIDENCE INPUT — NO COMPONENT OR AUTONOMY DECISION,SUPPORTING EVIDENCE — PARAMETRIC / PRE-BENCH ONLY,RECONCILED 2026-08-27 — NOT RELEASED,INCLUSION TO DECIDE,INTERNAL_INCLUSION_DECISION_OPEN,EXPLICIT APPROVAL REQUIRED,EXPLICIT_PUBLICATION_APPROVAL_REQUIRED,NOT STARTED,DO_NOT_PUBLISH_RESTRICTED_OR_UNAPPROVED,NOT_RELEASED,"Internal review candidacy does not establish external publication, release, validation, transmission or manufacturing authority."
