open_gate_id,native_item_id,category,title,status,severity_priority,owner,evidence_required,next_action,authority_source,active_count,close_authority,notes
OPEN-COR006-EX-020,EX-020,OPEN-BRAND,Capacités produit décrites sans provenance courante réconciliée,OPEN — HISTORICAL TRACES FOUND / CURRENT PRODUCT PROVENANCE AND AUTHORITY NOT RECONCILED,HIGH,Founder / Product / Software,"Exact controlled Product authority and provenance for Voice Cues, Relay, Rescue, Guardian Circle and Meet Mode; privacy/access-control treatment; implementation evidence only if availability is claimed.",Reconcile each capability against PRD-002/PRD-005/capability-specific authorities and exact repository evidence; preserve historical SYS-002/data-model traces without promoting them.,COR-006 EX-020; SYS-002; BATCH4_CAPABILITY_OCCURRENCE_REGISTER_2026-08-27; SUPR-026,YES,Founder / Product with explicit controlled provenance and evidence,"The earlier zero-occurrence premise is corrected: searchable historical traces exist. Occurrence alone is not current Product authority, implementation proof or privacy approval."
OPEN-COR006-EX-021,EX-021,OPEN-SW,Pile applicative courante partiellement observée / autorité Git non figée,"OPEN — REPOSITORY STACK PARTIALLY OBSERVED / EXACT GIT COMMIT, CI, BUILD AND DEPLOYMENT EVIDENCE ABSENT",HIGH,Software Engineering / DevOps,Exact authoritative repository and frozen git commit/ref; complete tree or controlled archive; reproducible dependency lock; successful CI/build/test evidence; approved deployment configuration and environment record.,"Materialise and freeze the authoritative commit, reconcile the two Drive trees, then run controlled build/test/CI and deployment-state checks.",COR-006 EX-021; SW-002; SEC-004; BATCH4_REPOSITORY_EVIDENCE_REGISTER_2026-08-27,YES,Named Software / DevOps reviewer + exact repository custody and execution evidence,Nine file pairs are exact Base64-equal via the Drive connector and establish a sampled observed stack only. Full-tree identity and git provenance remain unverified.
OPEN-COR006-EX-018,EX-018,OPEN-BRAND,Conflit visuel de pré-production — film,OUVERTE — PORTÉE VISUELLE UNIQUEMENT,HIGH,Brand,"Le paquet film porte deux valeurs d'empreinte differentes : ~1000 x 700 mm dans l'enregistrement d'echelle, ~1100 x 750 mm dans le README. CES DEUX VALEURS SONT HISTORIQUES ET VISUELLES. Elles ne constituent NI une cible produit, NI une cible d'ingenierie, NI une enveloppe de fabrication, NI une autorite MAT controlee. L'autorite dimensionnelle est ENG-003 : 900 x 600 mm = geometrie Phase 0 sourcee ; empreinte Product V1 NOT FROZEN.",Trancher la valeur visuelle du film. Cet item NE GOUVERNE PAS l'ingenierie Product V1.,COR-006 EMOPET Exceptions Register,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without changing source status. May overlap a cross-corpus gate; native ID preserved.
OPEN-COR006-EX-019,EX-019,OPEN-DOC,Version en vigueur des gates d'identite du film,OUVERTE,HIGH,Brand,"Le document de gates fourni est la version 1.4, qui se declare elle-meme EN PROJET, NON GELEE, NON EN VIGUEUR. La version 1.3, gelee et en vigueur, n'est pas fournie et contient la formulation revoquee. Item O-MAT-04 de la source.",Approuver la version 1.4 ou fournir la version 1.3,COR-006 EMOPET Exceptions Register,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without changing source status. May overlap a cross-corpus gate; native ID preserved.
OPEN-COR006-EX-015,EX-015,OPEN-BRAND,Film institutionnel — fourniture des documents narratifs,OUVERTE,HIGH,Brand,"Le paquet fourni le 2026-08-13 est le paquet de gates d'identite version 1.4, ingere comme preuve de source sous BRD-FILM-002 : quatre documents, quatre actifs visuels, sept empreintes verifiees. Ce n'est pas le paquet narratif en douze documents. Restent a fournir : voix off francaise, prompts ou descriptions des neuf plans, carte de references, verrou de decision, cadre d'orchestration, charte de marque, gates version 1.3. Sans eux, aucune redaction de script n'est engagee. Autodesk reste la chaine master ; la previsualisation par generation est autorisee sans jamais constituer une autorite.",Fournir les documents narratifs manquants,COR-006 EMOPET Exceptions Register,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without changing source status. May overlap a cross-corpus gate; native ID preserved.
OPEN-COR006-EX-016,EX-016,OPEN-BRAND,Film institutionnel — six écarts de réconciliation,OUVERTE,HIGH,Brand,"Reevalues apres ingestion, dans BRD-FILM-001 rev 0.3 section 6. Trois sont ETABLIS PAR LA SOURCE : R-3 signature et positionnement portes en dur sur l'actif TAG, R-4 reference MAT plate contre caractere rembourre corrige, R-6 representation TAG. Trois ne sont PAS VERIFIABLES faute des documents correspondants : R-1 terme designant l'humain, R-2 Community a l'image, R-5 identite graphique.","Arbitrage de R-1, R-2 et R-3. R-4 et R-6 se resolvent par les regles deja portees par la source.",COR-006 EMOPET Exceptions Register,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without changing source status. May overlap a cross-corpus gate; native ID preserved.
OPEN-COR006-EX-017,EX-017,OPEN-BRAND,Film institutionnel — faisabilité des actifs 3D,OUVERTE,HIGH,Brand,"La chaîne 3D exige des actifs inexistants : chien photoréaliste animé, propriétaire, environnements, modèle TAG. Le MAT dispose d'une CAO Phase 0 mais sa définition dimensionnelle et textile reste ouverte. L'ambition visuelle du film peut devoir être révisée.",Décision produit et budgétaire sur le registre visuel et le périmètre des actifs,COR-006 EMOPET Exceptions Register,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without changing source status. May overlap a cross-corpus gate; native ID preserved.
OPEN-COR006-EX-014,EX-014,OPEN-SW,Quatre migrations SQL récupérées,OUVERTE,HIGH,Software Engineering,Récupération contrôlée effectuée. Statut : ASSET — TECHNICAL REVIEW REQUIRED. Non insérées dans la chaîne active.,Revue de compatibilité d'ordre et de dépendances,COR-006 EMOPET Exceptions Register,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without changing source status. May overlap a cross-corpus gate; native ID preserved.
OPEN-ENG003-O-012,O-012,OPEN-ENG,O-012 — cellules de charge,CONTROLLED CURRENT DESIGN TARGET — ENGINEERING VERIFICATION REQUIRED,HIGH,Hardware Engineering,SCINDÉ : la cible 4 × 50 kg est une DÉCISION FONDATEUR CONTRÔLÉE du 24-25 juin 2026. Seuls le MPN exact et la métrologie restent OPEN.,Provide and approve the evidence described by the current authority row.,ENG-003 OPEN_ITEMS_v1.9_RECONCILED,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Aucune révocation fondateur ultérieure retrouvée. Preuve : décision 2026-06-24/25 + nomenclature supplier-safe + ENG-002 CF-002 + Supplier Request B. La question à poser n'est plus « quelle capacité » mais « la cible contrôlée satisfait-elle la métrologie réelle ».
OPEN-ENG003-O-012B,O-012B,OPEN-ENG,O-012b — dimensionnement,VERIFICATION GATE MAINTENU,HIGH,Hardware Engineering,VÉRIFIER LA CIBLE CONTRÔLÉE / ECR SI ÉCHEC,Provide and approve the evidence described by the current authority row.,ENG-003 OPEN_ITEMS_v1.9_RECONCILED,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,"L'architecture n'est pas rouverte comme un choix vierge. Si la preuve fournisseur démontre l'inaptitude des 50 kg, le changement passe par une recommandation formelle de modification d'ingénierie. AUCUNE SUBSTITUTION SILENCIEUSE."
OPEN-ENG003-O-041,O-041,OPEN-ENG,O-041 — validation ECAD,PARTIAL — STATIC PASS,HIGH,Hardware Engineering,Reste PARTIAL,Provide and approve the evidence described by the current authority row.,ENG-003 OPEN_ITEMS_v1.9_RECONCILED,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,"NE PAS CLORE. Restent : ouverture native KiCad, refill des zones, DRC natif, cross-plot, inspection de connectivité et d'empreintes, sign-off relecteur."
OPEN-ENG003-O-006,O-006,OPEN-ENG,O-006 — AFE piézo,BLOCKED — inchangé,HIGH,Hardware Engineering,OPA2140 contre ADA4530-1,Provide and approve the evidence described by the current authority row.,ENG-003 OPEN_ITEMS_v1.9_RECONCILED,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,"Comparaison contrôlée. Les valeurs dépendent de la capacité de câble, elle-même non contrôlée."
OPEN-ENG003-O-011,O-011,OPEN-ENG,O-011 — câble L4,BLOCKED — inchangé,HIGH,Hardware Engineering,"Classe et interface contrôlées, référence exacte non gelée",Provide and approve the evidence described by the current authority row.,ENG-003 OPEN_ITEMS_v1.9_RECONCILED,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,"Ø 2,70 mm reste une enveloppe CAO provisoire."
OPEN-ENG003-O-046,O-046,OPEN-ENG,O-046 — portabilité kit vers module (NOUVEAU),OPEN,HIGH,Hardware Engineering,Portabilité firmware entre le kit de développement PCA10056 / nRF52840 DK et un module produit MS88SFB.,Provide and approve the evidence described by the current authority row.,ENG-003 OPEN_ITEMS_v1.9_RECONCILED,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,"Item NOUVEAU, créé pour ne pas recycler O-028. Le risque inter-familles a disparu ; le risque kit-vers-module subsiste."
OPEN-ENGMAT002-O-001,O-001,OPEN-ENG,Independent schematic inspection,PARTIAL — O-041,High,Hardware Engineering,"Static source reconciliation has passed. Complete native KiCad open/refill, native DRC, cross-plot, connectivity/footprint review and reviewer sign-off under O-041.","Static source reconciliation has passed. Complete native KiCad open/refill, native DRC, cross-plot, connectivity/footprint review and reviewer sign-off under O-041.",ENG-MAT-002 Open Items,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without status promotion.
OPEN-ENGMAT002-O-002,O-002,OPEN-ENG,Controlled source specifications and exact L4 identity,In Progress,Urgent,Hardware Engineering,Official candidate sources registered; obtain exact sensor/load-cell/power/mechanical specifications and supplier evidence.,Official candidate sources registered; obtain exact sensor/load-cell/power/mechanical specifications and supplier evidence.,ENG-MAT-002 Open Items,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without status promotion.
OPEN-ENGMAT002-O-003,O-003,OPEN-ENG,ADC requirements,Open,Urgent,Hardware Engineering,"Approve resolution, input range, noise, sampling and channel requirements.","Approve resolution, input range, noise, sampling and channel requirements.",ENG-MAT-002 Open Items,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without status promotion.
OPEN-ENGMAT002-O-004,O-004,OPEN-ENG,Synchronization budget,Open,Urgent,Hardware Engineering,"Approve maximum skew, clock strategy and timestamp resolution.","Approve maximum skew, clock strategy and timestamp resolution.",ENG-MAT-002 Open Items,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without status promotion.
OPEN-ENGMAT002-O-005,O-005,OPEN-ENG,Reference sensor,In Progress,High,Hardware Engineering,Source ADXL355 and LIS2DW12 evaluation hardware and define identical mounting/comparison protocol.,Source ADXL355 and LIS2DW12 evaluation hardware and define identical mounting/comparison protocol.,ENG-MAT-002 Open Items,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without status promotion.
OPEN-ENGMAT002-O-006,O-006,OPEN-ENG,Piezo AFE,In Progress,High,Hardware Engineering,Prototype OPA2140 and ADA4530-1 comparison channels after exact cable identity/length is confirmed.,Prototype OPA2140 and ADA4530-1 comparison channels after exact cable identity/length is confirmed.,ENG-MAT-002 Open Items,NO — LATER ENG-003 ROW IS AUTHORITY,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Historical/source register row preserved. Later ENG-003 authority applies.
OPEN-ENGMAT002-O-007,O-007,OPEN-ENG,Load-cell AFE/ADC,In Progress,High,Hardware Engineering,"Evaluate ADS1261 / ADS1261EVM against the exact load-cell bridge configuration, controlled 4 × 50 kg target, required update rate, skew and metrology.","Evaluate ADS1261 / ADS1261EVM against the exact load-cell bridge configuration, controlled 4 × 50 kg target, required update rate, skew and metrology.",ENG-MAT-002 Open Items,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without status promotion.
OPEN-ENGMAT002-O-008,O-008,OPEN-ENG,Power source,In Progress,High,Hardware Engineering,Use current-limited lab supply for Phase 0; specify rails/grounding after EVM interconnect plan.,Use current-limited lab supply for Phase 0; specify rails/grounding after EVM interconnect plan.,ENG-MAT-002 Open Items,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without status promotion.
OPEN-ENGMAT002-O-009,O-009,OPEN-ENG,Mechanical stack,Open,High,Hardware Engineering,Execute 3/4/5 mm plate comparison with configuration-controlled data.,Execute 3/4/5 mm plate comparison with configuration-controlled data.,ENG-MAT-002 Open Items,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without status promotion.
OPEN-ENGMAT002-O-010,O-010,OPEN-ENG,Phase 0 acceptance thresholds,Open,High,Hardware Engineering,Define after baseline bench runs; do not invent upfront.,Define after baseline bench runs; do not invent upfront.,ENG-MAT-002 Open Items,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without status promotion.
OPEN-ENGMAT002-O-011,O-011,OPEN-ENG,Exact L4 piezo cable identity,Open,Urgent,Hardware Engineering,"Confirm manufacturer, part number, copolymer vs spiral construction, length, capacitance, termination, procurement status and lot traceability.","Confirm manufacturer, part number, copolymer vs spiral construction, length, capacitance, termination, procurement status and lot traceability.",ENG-MAT-002 Open Items,NO — LATER ENG-003 ROW IS AUTHORITY,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Historical/source register row preserved. Later ENG-003 authority applies.
OPEN-ENGMAT002-O-012,O-012,OPEN-ENG,Load-cell electrical identity,Open,Urgent,Hardware Engineering,"Confirm manufacturer, part number, rated capacity, sensitivity mV/V, bridge type, excitation, wiring and mechanical mounting.","Confirm manufacturer, part number, rated capacity, sensitivity mV/V, bridge type, excitation, wiring and mechanical mounting.",ENG-MAT-002 Open Items,NO — LATER ENG-003 ROW IS AUTHORITY,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Historical/source register row preserved. Later ENG-003 authority applies.
OPEN-ENGMAT002-O-013,O-013,OPEN-ENG,EVM grounding and isolation plan,Open,Urgent,Hardware Engineering,"Define star ground, shield termination, USB/data isolation and supply partition before first noise test.","Define star ground, shield termination, USB/data isolation and supply partition before first noise test.",ENG-MAT-002 Open Items,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without status promotion.
OPEN-ENGMAT002-O-014,O-014,OPEN-ENG,Raw logging throughput budget,Open,High,Hardware Engineering,Calculate worst-case bytes/s for all selected sample rates and metadata; verify USB/storage margins.,Calculate worst-case bytes/s for all selected sample rates and metadata; verify USB/storage margins.,ENG-MAT-002 Open Items,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without status promotion.
OPEN-ENGMAT002-O-015,O-015,OPEN-ENG,Priority 1 procurement,In Progress,Urgent,Hardware Engineering,"Obtain official quotations/lead times for ADS131M04EVM, PCA10056/nRF52840 DK, ADS1261EVM, EVAL-ADXL355-PMDZ and AFE prototype hardware.","Obtain official quotations/lead times for ADS131M04EVM, PCA10056/nRF52840 DK, ADS1261EVM, EVAL-ADXL355-PMDZ and AFE prototype hardware.",ENG-MAT-002 Open Items,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without status promotion.
OPEN-ENGMAT002-O-016,O-016,OPEN-ENG,Supplier-safe RFQ transmission,Blocked,Urgent,Hardware Engineering,"Close execution copy, signing authority, approved recipient/site and disclosure log before sending v0.4 supplier package.","Close execution copy, signing authority, approved recipient/site and disclosure log before sending v0.4 supplier package.",ENG-MAT-002 Open Items,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without status promotion.
OPEN-ENGMAT002-O-017,O-017,OPEN-ENG,Dataset contract implementation,Open,High,Hardware Engineering,Integrate v0.4 sequence/timestamp/channel-class contract into the selected bench logger.,Integrate v0.4 sequence/timestamp/channel-class contract into the selected bench logger.,ENG-MAT-002 Open Items,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without status promotion.
OPEN-ENGMAT002-O-018,O-018,OPEN-ENG,Independent repeat plan,Open,High,Hardware Engineering,Name a second reviewer/operator and repeat configuration for E2 evidence.,Name a second reviewer/operator and repeat configuration for E2 evidence.,ENG-MAT-002 Open Items,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without status promotion.
OPEN-DOC-005,,OPEN-DOC,EMOPET v2 pilot template gate,OPEN — PILOT BUILT / MASS CONVERSION NOT AUTHORIZED,CRITICAL,Founder — EMOPET / Document Control / Brand,Founder accepts the seven-category pilot as a successful QA candidate. Fallback fonts are accepted for pilot QA evidence only. Final typography-compliant rendering and an explicit Founder decision authorizing mass conversion remain required.,Preserve the approved pilot byte-identically. Render future publication outputs with Fraunces / Instrument Sans / JetBrains Mono where technically available; obtain explicit Founder closure before mass conversion.,BRAND-AUTHORITY-001 §8; WORK-DELTA-MOKO-001 §§1–3,YES,Founder — EMOPET,Controlled pilot archive SHA-256 04410ba80917fca415df48c5775ee8547bb81c20683662d01d61343a77938153. Seven PDFs / 27 pages and two XLSX outputs remain PASS_WITH_NOTES — NOT RELEASED. Duplicate Library copy is byte-identical per Founder input.
