supersession_id,type,scope,historical_or_superseded,current_authority,status,effective_date,source,notes
SUPR-011,PROPOSED PUBLICATION PROFILE,Corporate / engineering visual profile,BioRhyme / Inter / navy profile from prior prompts/mockups,BRAND-AUTHORITY-001 / EMOPET_Charte_Graphique_v2.html v2.0,HISTORICAL / PROPOSED PROFILE — SUPERSEDED AS CURRENT AUTHORITY,2026-08-25,BRAND-AUTHORITY-001 §5.2,May not govern new documents unless reintroduced by a future controlled scoped decision.
SUPR-012,VISUAL PRE-PRODUCTION DIMENSION SCOPE,Institutional film MAT visual assets,~1000×700 and 1100×750 visual/pre-production targets,Product V1 footprint = NOT FROZEN; physical dimensions require controlled Product/engineering evidence,HISTORICAL / VISUAL ONLY — NO ENGINEERING AUTHORITY,2026-08-25,COR-006 EX-003; BRAND-AUTHORITY-001 §6; Work Master Prompt,Film source conflict remains OPEN-DOC-006; no physical measurement is inferred.
SUPR-013,RELEASE PACKAGE,MOKO partner engineering-review package,MOKO r1.4 immutable historical / source reference,MOKO r1.5 superseded release candidate / PREPARED_NOT_SENT,HISTORICAL LINEAGE STEP — NO TRANSMISSION CLAIM,2026-08-26,WORK-DELTA-MOKO-001; MOKO-RECON-016,r1.4 remains byte-preserved and traceable. It is not the current MOKO release candidate.
SUPR-014,RELEASE PACKAGE,MOKO partner engineering-review package,MOKO r1.5 superseded release candidate / PREPARED_NOT_SENT,MOKO r1.6 active current release candidate / PREPARED_NOT_SENT,SUPERSEDED → ACTIVE CURRENT CANDIDATE — NOT RELEASED,2026-08-26,WORK-DELTA-MOKO-001; MOKO-RECON-016,"Normalized payload authority set is unchanged 46/46; 40 changed and six byte-identical. No transmission, manufacturing or typography-publication gate is closed."
SUPR-015,PRODUCT-SCOPE WORDING,Core/gated Product membership versus execution/security/privacy scope wording,PRD-004 “hors V1” execution-order wording; DATA-002 community/social “n’existent pas en V1”; SEC-003 Product-membership implications; SYS-003 future-concepts snapshot,PRD-005 Founder Product doctrine; PRD-002; PRD-003; PRD-APP-001 and capability-specific controlled Product sources,PARTIALLY SUPERSEDED FOR PRODUCT MEMBERSHIP ONLY,2026-08-12,PRD-005; PRD-002; PRD-003; PRD-APP-001; document authority clauses,"Execution, privacy and security controls remain authoritative within their own scope. They do not decide whether a capability belongs to the Product architecture."
SUPR-016,TECHNICAL STATUS CORRECTION,"PRD-TAG-001 component, battery and positioning wording",nRF52840/MS88SF3 reference language; generic 602030 ~300mAh candidate; GNSS optional/open wording where inconsistent with later controlled requirements,AUTONOMOUS TAG POSITION ACQUISITION FOR V1 RECOVERY = REQUIRED — CONTROLLED; exact GNSS/module TO SELECT; NO BATTERY SELECTED; exact candidate statuses governed by later controlled decisions and r1.6,PARTIALLY SUPERSEDED — SOURCE HISTORY PRESERVED,2026-08-26,WORK MASTER PROMPT §§8–10; WORK-DELTA-MOKO-001; exact r1.6 authority,"Does not select a component, antenna, provider or battery and does not make an autonomy claim."
SUPR-017,PARTNER-PROFILE DOCUMENT COPY,PRD-MAT-001 and PRD-TAG-001 copies embedded in MOKO r1.4,ZIP-0375 and ZIP-0376 r1.4 package copies,Exact r1.6 payload identities for the MOKO partner profile; global controlled Product authorities remain separately governed,HISTORICAL PARTNER COPY — SUPERSEDED FOR MOKO PROFILE,2026-08-26,WORK-DELTA-MOKO-001; MOKO-RECON-016,This partner-profile supersession does not rewrite or demote the global source document outside MOKO lineage.
SUPR-018,ENGINEERING BASELINE,MAT Controller v0.4 candidate architecture/component status,nRF5340 DK / ADS131M08 / ADS1234 candidate baseline wording within the v0.4 source snapshot,PCA10056/nRF52840 DK + ADS131M04 + ADS1261 Phase 0 baselines per ENG-003 / MAT_CURRENT_STATE_RevA2R1; implementation and physical validation remain open,PARTIALLY SUPERSEDED — ARCHIVE AND 84 MEMBERS PRESERVED,2026-08-24,ENG-003; MAT_CURRENT_STATE_RevA2R1; VAL-000 provenance; Batch 2 reconciliation,Supersession is limited to current candidate/status authority. v0.4 remains valid provenance and software/synthetic verification history only.
SUPR-019,TECHNICAL STATUS CORRECTION,"2026-08-25 MAT schematic-capture input — load-cell ADC, AFE status and VBIAS",ADS1220 stated as baseline; ADA4530-1 stated as baseline; VBIAS approximately 1.5 V,ADS1261 Phase 0 baseline / ADS1220 alternative; ADA4530-1 preferred candidate — TO VALIDATE; VBIAS approximately 1.35 V candidate with 1.25 V alternative,PARTIALLY SUPERSEDED — SOURCE NOT REWRITTEN,2026-08-24,ENG-003; MAT_CURRENT_STATE_RevA2R1; controlled open-gate register,"Does not select a production component or close AFE, cable, physical, KiCad or manufacturing gates."
SUPR-020,PRODUCT / ENGINEERING REQUIREMENT,TAG GNSS optionality and local-only validation-platform wording,L76K or generic GNSS IN/OUT wording; RevA local sensing/BLE validation scope where interpreted as Product V1 authority,"Autonomous TAG position acquisition for V1 recovery = REQUIRED — CONTROLLED; exact module, antenna, provider and implementation remain TO SELECT/OPEN",PARTIALLY SUPERSEDED — FUNCTION CONTROLLED / IMPLEMENTATION OPEN,2026-08-25,Work Master Prompt; GNSS governance correction; exact r1.6 authority; OPEN-ENG-001/002/003,"The requirement does not select L76K, MAX-M10S, nRF9151, an antenna or a provider and does not establish autonomy performance."
SUPR-021,TECHNICAL STATUS CORRECTION,TAG battery quantitative assumptions,Generic 602030 / approximately 300 mAh or implied selected-cell wording,"NO BATTERY SELECTED; exact-cell source, continuous/pulse current, protection, mechanics and measured load profile required",PARTIALLY SUPERSEDED — SOURCE EVIDENCE RETAINED / SELECTION OPEN,2026-08-25,OPEN-ENG-004; battery B1R source gates; Work Master Prompt,EEMB LP602030HA product-page 10C wording is candidate source evidence only and does not close exact current compatibility or autonomy.
SUPR-022,ENGINEERING SOURCE-READINESS STATUS,nRF9151 source readiness for parametric state-level power modelling,ZIP-0250 / ZIP-0251 wording: nRF9151 NOT READY FOR FULL POWER MODEL,ZIP-0014 R2: READY FOR PARAMETRIC STATE-LEVEL POWER MODEL WITH CONDITIONS — NOT READY FOR FINAL AUTONOMY,PARTIALLY SUPERSEDED — SOURCE READINESS ONLY / NO SELECTION,2026-08-24,TAG_NRF9151_OFFICIAL_SOURCE_CLOSURE_R2_2026-08-24; Batch 3 reconciliation,"Does not select nRF9151, an antenna or provider and does not establish a whole-board load model or measured autonomy."
SUPR-023,BRAND / PUBLICATION PROFILE,Deep-research recommendation for EMOPET document typography and colours,BioRhyme or Georgia + Inter + navy #1D1A6A profile proposed in the 2026-08-25 research input,BRAND-AUTHORITY-001 / EMOPET_Charte_Graphique_v2.html v2.0: Fraunces + Instrument Sans + JetBrains Mono; v2 palette,SUPERSEDED BY FOUNDER BRAND DECISION — RESEARCH SNAPSHOT PRESERVED,2026-08-25,BRAND-AUTHORITY-001; Batch 3 deep-research reconciliation,The fallback rendering environment does not amend the controlled typography authority; OPEN-DOC-005 remains open.
SUPR-024,MOKO RELEASE LINEAGE,Deep-research statement of the current MOKO package,MOKO r1.4 described as the current locally audited package,Exact r1.6 is ACTIVE CURRENT RELEASE CANDIDATE / PREPARED_NOT_SENT; r1.4 is immutable historical/source reference,SUPERSEDED — CURRENT RELEASE INGESTION AUTHORITY UPDATED,2026-08-26,WORK-DELTA-MOKO-001; MOKO-RECON-016,"No transmission, manufacturing release or final typography-publication approval is created."
SUPR-025,PRODUCT MEMBERSHIP / SOFTWARE EXECUTION BOUNDARY,"Immersive, Unity and World Product membership versus dated implementation-status wording","SW-001, SEC-003 and COR-008/COR-009 wording that may be read as removing Unity/World/immersive from V1 or current Product architecture",PRD-005; PRD-APP-001; PRD-IMM-001 — immersive is CORE with controlled/gated depth; runtime remains a candidate and implementation remains unproven,PARTIALLY SUPERSEDED FOR PRODUCT MEMBERSHIP ONLY / EXECUTION STATUS PRESERVED,2026-08-12,PRD-005; PRD-APP-001; PRD-IMM-001; Batch 4 reconciliation,"Does not select Unity, Nakama or another runtime and does not prove code, build, deployment or user-facing availability."
SUPR-026,CORPUS-SEARCH EVIDENCE CORRECTION,"Cyber integration claim that Voice Cues, Relay, Rescue, Guardian Circle and Meet Mode have zero baseline occurrence and no architecture contradiction",ZIP-0359 zero-occurrence / no-architecture-conflict conclusion,"Batch 4 searchable-source measurement: historical name/data-model traces exist, including SYS-002; exact current Product provenance and authority remain open under EX-020",SUPERSEDED FOR SEARCH RESULT ONLY / PRODUCT DECISION NOT CREATED,2026-08-27,BATCH4_CAPABILITY_OCCURRENCE_REGISTER_2026-08-27; SYS-002; OPEN-COR006-EX-020,"An occurrence is not Product authority, implementation evidence, privacy approval or release status. Source ZIP and ZIP-0359 remain unchanged."
SUPR-027,LEGAL INSTRUMENT EXECUTION LINEAGE,"EMOPET–MOKO NNN unsigned, Party-B-only and fully counter-signed stages",ZIP-0210 and ZIP-0212 unsigned duplicate DOCX masters; ZIP-0211 Party-B-only signed PDF hash 298165f7… with Party A blank,Fully counter-signed immutable original hash 332a1e97…; local r1.4 copy verified and controlled r1.6 register records byte identity,SUPERSEDED FOR CURRENT EXECUTION EVIDENCE / HISTORICAL STAGES PRESERVED,2026-08-10,Batch 5 legal lineage register; MOKO r1.4 content register; MOKO r1.6 verification register,"Legal enforceability is not assessed. Execution does not establish SOW, PO, work authorisation, transmission, manufacturing or release."
SUPR-028,TRANSMISSION EVENT WORDING CORRECTION,Batch 5 draft statements that MOKO packages or r1.2/r1.3 were sent,ZIP-0364 'tel qu’envoyé'; FIN-007 'paquet ... transmis'; ZIP-0366 'r1.2/r1.3 envoyé',MOKO r1.6 ACTIVE CURRENT CANDIDATE / PREPARED_NOT_SENT / no email sent / no disclosure-register transmission entry,SUPERSEDED FOR TRANSMISSION STATUS / SOURCE WORDING PRESERVED,2026-08-26,WORK-DELTA-MOKO-001; MOKO-RECON-016; Batch 5 reconciliation,"No actual send, disclosure, receipt or partner transmission is inferred from the drafts."
SUPR-029,MOKO RELEASE LINEAGE,Current MOKO partner candidate,r1.1 / r1.2 / r1.3 / r1.4 historical; r1.5 superseded candidate,Exact frozen r1.6 candidate / PREPARED_NOT_SENT / NOT RELEASED,SUPERSEDED FOR CURRENT CONTENT / PRESERVED FOR LINEAGE,2026-08-26,WORK-DELTA-MOKO-001; MOKO-RECON-016,No archive is rebuilt or silently rehashed; exact r1.6 binary remains absent locally.
SUPR-030,DOCUMENT CONTROL REGISTERS,Current Work control state,COR-004 / COR-005 / COR-006 / COR-010 baseline XLSX snapshots,"Living Work master matrix, open-gate, evidence, source, supersession registers and control workbook",HISTORICAL SNAPSHOTS / CURRENT LIVING REGISTERS GOVERN,2026-08-28,Batch 9 reconciliation,Historical files remain immutable and auditable.
SUPR-031,ENGINEERING PREBENCH CONTEXT,TAG/MAT dated prebench and RevA2R1 handoffs,"Dated trade studies, source gates, baseline decisions and progress handoffs in Batch 9",Batch 2 current engineering authorities and active open-gate register,SUPPORTING/HISTORICAL — EXECUTION AND VALIDATION NOT ESTABLISHED,2026-08-28,Batch 2 and Batch 9 reconciliation,"No Gerber, fabrication, component-selection, physical-validation or manufacturing claim is created."
